key,ca,eu,gl,es,pt,fr,it,en,de
admin_login_title,AtempoSports — Admin,AtempoSports — Administratzailea,AtempoSports — Administración,AtempoSports — Admin,AtempoSports — Administração,AtempoSports — Administration,AtempoSports — Amministrazione,AtempoSports — Admin,AtempoSports — Verwaltung
admin_make_reset,Generar enllaç de recuperació,Sortu berreskuratze-esteka,Generar enlace de recuperación,Generar enlace de recuperación,Gerar link de recuperação,Générer un lien de récupération,Genera link di recupero,Generate recovery link,Wiederherstellungslink generieren
admin_no_clubs,No hi ha clubs.,Ez dago klubik.,Nada de clubs.,No hay clubs.,Sem clubes.,Aucun club.,Nessun club.,No clubs.,Keine Vereine.
admin_no_seasons,No hi ha temporades.,Ez dago urtarorik.,Non hai estacións.,No hay temporadas.,Não há épocas.,Aucune saison.,Non ci sono stagioni.,No seasons.,Keine Saisons vorhanden.
admin_pwd_ok,Contrasenya actualitzada per {name}.,{name}-en pasahitza eguneratu da.,Contraseña actualizada a {name}.,Contraseña actualizada para {name}.,Palavra-passe atualizada para {name}.,Mot de passe mis à jour pour {name}.,Password aggiornata per {name}.,Password updated for {name}.,Passwort für {name} aktualisiert.
admin_recovery_change_btn,Canviar paraula de recuperació,Berreskuratze hitza aldatu,Palabra de recuperación de cambios,Cambiar palabra de recuperación,Alterar palavra de recuperação,Changer le mot de récupération,Cambia parola di recupero,Canviar paraula de recuperació,Wiederherstellungswort ändern
admin_recovery_change_hint,"Per canviar-la: primer l’actual, després la nova dues vegades.","Aldatzeko: lehenik egungoa, gero berria bi aldiz.","Para cambiar: primeiro o actual, despois o novo dúas veces.","Para cambiarla: primero la actual, después la nueva dos veces.","Para alterar: primeiro a atual, depois a nova duas vezes.","Pour changer : d'abord l'actuel, puis le nouveau deux fois.","Per cambiarla: prima l'attuale, poi la nuova due volte.","Per canviar-la: primer l’actual, després la nova dues vegades.","Zum Ändern: zuerst das aktuelle, dann das neue zweimal."
admin_recovery_configured,Paraula de recuperació configurada,Konfiguratutako berreskuratze-hitza,Palabra de recuperación configurada,Palabra de recuperación configurada,Palavra de recuperação configurada,Mot de récupération configuré,Parola di recupero configurata,Paraula de recuperació configurada,Wiederherstellungswort eingerichtet
admin_recovery_current,Paraula actual,uneko hitza,Palabra actual,Palabra actual,Palavra atual,Mot actuel,Parola attuale,Paraula actual,Aktuelles Wort
admin_recovery_empty,"Encara no n’has posat cap. Fins que no en posis, un error de contrasenya no et bloqueja (menys segur).","Oraindik ez duzu bat sartu. Bat sartu arte, pasahitz oker batek ez zaitu blokeatuko (seguru gutxiago).","Aínda non puxeches ningún. Ata que o coloque, un erro de contrasinal leva ao inicio de sesión do club.","Aún no has puesto ninguna. Hasta que no pongas una, un error de contraseña no te bloquea (menos seguro).","Ainda não puseste nenhuma. Até pôr, um erro de palavra-passe leva ao login do clube.","Tu n'en as encore défini aucun. Tant que ce n'est pas fait, une erreur de mot de passe te renvoie au login du club.","Non ne hai ancora impostata una. Finché non lo fai, un errore di password ti porta al login del club.","Encara no n’has posat cap. Fins que no en posis, un error de contrasenya no et bloqueja (menys segur).","Du hast noch keines festgelegt. Bis du eines festlegst, führt ein Passwortfehler zum Club-Login."
admin_recovery_heading,Paraula de recuperació,Berreskuratzeko hitza.,Palabra de recuperación,Palabra de recuperación,Palavra de recuperação,Mot de récupération,Parola di recupero,Paraula de recuperació,Wiederherstellungswort
admin_recovery_intro,"El dia a dia: «Operador» + contrasenya, des de qualsevol ordinador. Si falles un cop, et treu al login del club. Per tornar-hi, escrius aquesta paraula que recordes (no cal desar enllaços).","Eguneroko errutina: &quot;Operadorea&quot; + pasahitza, edozein ordenagailutatik. Behin pasahitz okerra sartzen baduzu, klubaren saioa hasteko orrialdera birbideratuko zaitu. Itzultzeko, gogoratzen duzun hitza idatzi (ez da beharrezkoa estekak gordetzea).","Todos os días: ""Operador"" + contrasinal, desde calquera ordenador. Se fallas unha vez, volves ao inicio de sesión do club. Para volver atrás escribes esta palabra que memorizas (no necesitas guardar enlaces).","El día a día: «Operador» + contraseña, desde cualquier ordenador. Si fallas una vez, te saca al login del club. Para volver, escribes esta palabra que recuerdas (no hace falta guardar enlaces).","O dia a dia: ""Operador"" + palavra-passe, a partir de qualquer computador. Se falhares uma vez, voltas ao login do clube. Para voltar, escreves esta palavra que memorizas (não precisas de guardar links).","Quotidien : ""Opérateur"" + mot de passe, depuis n'importe quel ordinateur. Si tu échoues une fois, tu reviens au login du club. Pour revenir, tu écris ce mot que tu as mémorisé (pas besoin de garder de liens).","Giorno per giorno: ""Operatore"" + password, da qualsiasi computer. Se fallisci una volta, torni al login del club. Per tornare, scrivi questa parola che hai memorizzato (non serve tenere i link).","El dia a dia: «Operador» + contrasenya, des de qualsevol ordinador. Si falles un cop, et treu al login del club. Per tornar-hi, escrius aquesta paraula que recordes (no cal desar enllaços).","Der Alltag: ""Betreiber"" + Passwort, von jedem Computer. Wenn du einmal falsch liegst, kommst du zum Vereinslogin. Um zurückzukommen, gibst du dieses Wort ein, das du dir merkst (keine Links speichern nötig)."
admin_recovery_min,(mínim 6 caràcters),(gutxienez 6 karaktere),(mínimo 6 caracteres),(mínimo 6 caracteres),(mínimo 6 caracteres),(minimum 6 caractères),(minimo 6 caratteri),(mínim 6 caràcters),(mindestens 6 Zeichen)
admin_recovery_new_word,Paraula nova,Hitz berria,Palabra nova,Palabra nueva,Palavra nova,Nouveau mot,Nuova parola,Paraula nova,Neues Wort
admin_recovery_phrase,Paraula o frase,Hitza edo esaldia,Palabra o frase,Palabra o frase,Palavra ou frase,Mot ou phrase,Parola o frase,Paraula o frase,Wort oder Satz
admin_recovery_repeat,Repeteix la,Errepikatu,Repete-se o,Repite la,Repete a,Répète le,Ripeti,Repeteix la,Wiederhole
admin_recovery_save_btn,Desar paraula de recuperació,Gorde berreskuratze-hitza,Guardar palabra de recuperación,Guardar palabra de recuperación,Guardar palavra de recuperação,Enregistrer le mot de récupération,Salva parola di recupero,Desar paraula de recuperació,Wiederherstellungswort speichern
admin_reset_link_label,Enllaç (copiar ara; no es torna a mostrar):,Esteka (kopiatu orain; ez da berriro bistaratuko):,Ligazón (copiar agora; non se mostrará máis):,Enlace (copiar ahora; no se vuelve a mostrar):,Link (copia agora; não será mostrado novamente):,Lien (copie maintenant ; il ne sera plus affiché) :,Link (copia ora; non verrà più mostrato):,Link (copy now; it won’t be shown again):,Link (jetzt kopieren; er wird nicht wieder angezeigt):
admin_reset_ok,Enllaç generat per {name} (1 h).,{name}-erako esteka sortu da (1 h).,Enlace xerado para {name} (1 h).,Enlace generado para {name} (1 h).,Link gerado para {name} (1 h).,Lien généré pour {name} (1 h).,Link generato per {name} (1 h).,Link generated for {name} (1 h).,Link für {name} generiert (1 Std.).
admin_save_email,Desar correu,Gorde mezu elektronikoa,Gardar o correo electrónico,Guardar correo,Guardar e-mail,Enregistrer l'e-mail,Salva email,Save email,E-Mail speichern
admin_save_password,Posar contrasenya,Sartu pasahitza,Estabelecer o contrasinal,Poner contraseña,Definir palavra-passe,Définir le mot de passe,Imposta password,Set password,Passwort setzen
admin_season_active,Activa,Aktiboa,Activo,Activa,Ativa,Active,Attiva,Active,Aktiv
admin_seasons_heading,Temporades,Partekatze- tasa:,Tempadas,Temporadas,Épocas,Saisons,Stagioni,Seasons,Saisons
admin_seasons_intro,Gestió de temporades del club.,Klubaren denboraldiko kudeaketa.,Xestión da tempada de clubs.,Gestión de temporadas del club.,Gestão das épocas do clube.,Gestion des saisons du club.,Gestione delle stagioni del club.,Manage club seasons.,Verwaltung der Saisons des Vereins.
admin_seasons_link,Temporades,Partekatze- tasa:,Tempadas,Temporadas,Épocas,Saisons,Stagioni,Seasons,Saisons
admin_set_email,Correu del club,Klubaren posta elektronikoa,Club email,Correo del club,E-mail do clube,E-mail du club,Email del club,Club email,Vereins-E-Mail
admin_set_password,Contrasenya nova,erabiltzailearen pasahitza,Contrasinal novo,Contraseña nueva,Nova palavra-passe,Nouveau mot de passe,Nuova password,New password,Neues Passwort
admin_title,Admin · clubs,Administrazioa · klubak,Admin · clubs,Admin · clubs,Admin · clubes,Admin · clubs,Admin · club,Admin · clubs,Verwaltung · Vereine
admin_wrong_body,"Si ets d’un club, has d’entrar amb el codi de club i la contrasenya a la pàgina d’accés. Et portem allà ara.","Klub-kide bazara, zure klub-kodearekin eta pasahitzarekin saioa hasi beharko duzu saioa hasteko orrialdean. Orain hara eramango zaitugu.","Se es dun club, introduce o código do club e o contrasinal na páxina de inicio de sesión. Imos facerche chegar agora.","Si eres de un club, debes entrar con el código de club y la contraseña en la página de acceso. Te llevamos allí ahora.","Se és de um clube, entra com o código do clube e a palavra-passe na página de acesso. Vamos levar-te lá agora.","Si tu es d'un club, connecte-toi avec le code du club et le mot de passe sur la page d'accès. On t'y emmène maintenant.","Se sei di un club, entra con il codice del club e la password nella pagina di accesso. Ti portiamo lì ora.","If you are from a club, sign in with your club code and password on the access page. Taking you there now.","Wenn du von einem Verein kommst, melde dich mit Vereinscode und Passwort auf der Zugangsseite an. Du wirst dorthin weitergeleitet."
admin_wrong_go_login,Anar a l’accés del club →,Joan klubaren sarrerara →,Ir a acceso a club →,Ir al acceso del club →,Ir para o acesso do clube →,Aller à l'accès du club →,Vai all'accesso del club →,Go to club sign-in →,Zum Vereinszugang →
admin_wrong_heading,Lloc equivocat,Leku okerra.,Lugar incorrecto,Sitio equivocado,Lugar errado,Mauvais endroit,Posto sbagliato,Wrong place,Falscher Ort
admin_wrong_lead,Això no és l’accés del club.,Hau ez da klubaren sarbide puntua.,Isto non é o acceso ao club.,Esto no es el acceso del club.,Isto não é o acesso do clube.,Ce n'est pas l'accès du club.,Questo non è l'accesso del club.,This is not the club sign-in.,Das ist nicht der Vereinszugang.
admin_wrong_operator,Sóc l’operador,Operadorea naiz.,I 'm a operador,Soy el operador,Sou o operador,Je suis l'opérateur,Sono l'operatore,Sóc l’operador,Ich bin der Betreiber
admin_wrong_redirect,Redirecció automàtica en uns segons…,Birbideratze automatikoa segundo gutxitan…,Redirección automática en poucos segundos...,Redirección automática en unos segundos…,Redirecionamento automático em uns segundos…,Redirection automatique dans quelques secondes…,Reindirizzamento automatico tra qualche secondo…,Automatic redirect in a few seconds…,Automatische Weiterleitung in wenigen Sekunden…
admin_wrong_title,AtempoSports — Lloc equivocat,AtempoSports — Leku okerra,AtempoSports — Lugar incorrecto,AtempoSports — Sitio equivocado,AtempoSports — Lugar errado,AtempoSports — Mauvais endroit,AtempoSports — Posto sbagliato,AtempoSports — Wrong place,AtempoSports — Falscher Ort
calendar_go,Anar,Joateko,Ir,Ir,Ir,Aller,Vai,Go,Los
calendar_goto,Data,Data,Data,Fecha,Data,Date,Data,Date,Datum
calendar_legend,Llegenda,Legenda,Caption,Leyenda,Legenda,Légende,Legenda,Legend,Legende
calendar_legend_changed,Canviat i sense conflicte,Aldatua eta gatazkarik gabe,"Alterado, nada de conflito",Cambiado y sin conflicto,"Alterado, sem conflito","Modifié, pas de conflit","Modificato, nessun conflitto","Changed, no conflict","Geändert, kein Konflikt"
calendar_legend_hard,Conflicte greu,Gatazka larria,Conflito grave,Conflicto grave,Conflito grave,Conflit grave,Conflitto grave,Serious conflict,Schwerer Konflikt
calendar_legend_ok,Sense conflicte,Gatazkarik gabe.,Ningún conflito,Sin conflicto,Sem conflito,Pas de conflit,Nessun conflitto,No conflict,Kein Konflikt
calendar_legend_soft,Conflicte lleu,Gatazka txikia,Conflito leve,Conflicto leve,Conflito suave,Conflit léger,Conflitto lieve,Soft conflict,Weicher Konflikt
calendar_legend_training,Entrenament,Entrenamendua,Adestramento,Entrenamiento,Treino,Entraînement,Allenamento,Entrenament,Training
calendar_nav_next,següent,hurrengoa,Primeiro plano,siguiente,próxima,suivante,successiva,next,nächste
calendar_nav_prev,anterior,aurrekoa,Anterior,anterior,anterior,précédente,precedente,previous,vorherige
calendar_nav_week,Setmana,Astea,Semana,Semana,Semana,Semaine,Settimana,Week,Woche
calendar_next,Setmana següent,Hurrengo astean,Próxima semana,Semana siguiente,Próxima semana,Semaine suivante,Settimana successiva,Next week,Nächste Woche
calendar_no_events,Cap esdeveniment en aquest període.,Ez da ekitaldirik egon aldi honetan.,Sen acontecementos neste período.,Ningún evento en este periodo.,Nenhum evento neste período.,Aucun événement sur cette période.,Nessun evento in questo periodo.,Cap esdeveniment en aquest període.,Keine Ereignisse in diesem Zeitraum.
calendar_prev,Setmana anterior,& Aurreko astea,Semana & previa,Semana anterior,Semana anterior,Semaine précédente,Settimana precedente,Previous week,Vorherige Woche
calendar_range,Període,Epea,Período,Periodo,Período,Période,Periodo,Period,Zeitraum
calendar_rel_ago,fa {n} setmanes,Duela aste batzuk {n},mYVAR0MYVAR semanas atrás,hace {n} semanas,há {n} semanas,il y a {n} semaines,{n} settimane fa,{n} weeks ago,vor {n} Wochen
calendar_rel_in,en {n} setmanes,{n} asteetan,en {n} semanas,en {n} semanas,em {n} semanas,dans {n} semaines,tra {n} settimane,in {n} weeks,in {n} Wochen
calendar_rel_last,setmana passada,Aste,A semana pasada,semana pasada,semana passada,semaine dernière,settimana scorsa,last week,letzte Woche
calendar_rel_next,setmana següent,datorren astean,na próxima semana,siguiente semana,próxima semana,semaine prochaine,prossima settimana,next week,nächste Woche
calendar_rel_this,aquesta setmana,aste honetan,Esta Semana,esta semana,esta semana,cette semaine,questa settimana,this week,diese Woche
calendar_title,Calendari · 4 setmanes,Egutegia · 4 aste,Calendario · 4 semanas,Calendario · 4 semanas,Calendário · 4 semanas,Calendrier · 4 semaines,Calendario · 4 settimane,Calendar · 4 weeks,Kalender · 4 Wochen
calendar_today,Avui,Gaur,Hoxe,Hoy,Hoje,Aujourd'hui,Oggi,Today,Heute
calendar_week,Setmana,Astea,Semana,Semana,Semana,Semaine,Settimana,Week,Woche
change_alts_apply,Aplicar,Ezarri,Aplicar,Aplicar,Aplicar,Appliquer,Applica,Apply,Übernehmen
